Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
Corona-Norco Unified,252334,39041,0,291375,52337,343713,Corona
Centralia Elementary,268446,26947,0,295393,48291,343684,Hemet
Savanna Elementary,276320,13086,0,289406,53809,343215,Hemet
Mt San Jacinto College,265151,5242,0,270393,72254,342647,San Jacinto
Oceanside Unified,268882,10686,0,279568,61675,341243,Oceanside
Riverside County Office of Education,281302,1850,0,283152,57733,340885,Riverside
Anaheim Union High,269089,8236,0,277325,63257,340582,Anaheim
ABC Unified,268760,19119,0,287879,52516,340395,Auburn
San Joaquin Delta College,258302,4272,0,262574,77026,339601,San Joaquin
Lammersville Joint Unified,234572,26958,0,261530,77808,339339,Farmersville
San Dieguito Union High,275323,0,0,275323,63992,339315,San Bernardino
Antioch Unified,266572,15901,0,282474,56600,339075,Antioch
Soledad Unified,247814,13169,0,260984,77982,338966,Soledad
South Pasadena Unified,265089,13200,0,278289,59507,337796,Pasadena
Moreno Valley Unified,282556,0,0,282556,54654,337211,Moreno Valley
Butte-Glenn Community College District,256661,9820,0,266481,70068,336549,Blue Lake
Hacienda la Puente Unified,281444,0,0,281444,54371,335816,La Puente
Reed Union Elementary,269725,1699,0,271425,63205,334631,Union City
Palm Springs Unified,271617,0,0,271617,61640,333257,Palm Springs
Napa Valley College,246588,37187,0,283775,49104,332880,Napa
El Dorado Union High,261902,0,0,261902,69115,331018,El Cajon
Sweetwater Union High,224592,53734,0,278326,51330,329656,Union City
East Whittier City Elementary,250450,15813,0,266263,63318,329581,Whittier
College of the Sequoias,249999,9000,0,258999,69765,328765,El Monte
El Segundo Unified,252498,7802,0,260300,68060,328360,El Segundo
Fontana Unified,250000,9615,0,259615,68616,328231,Fontana
La Mesa-Spring Valley,251287,12000,0,263287,64907,328194,La Mesa
Oro Grande,254685,27673,0,282358,45566,327924,Arroyo Grande
Los Gatos-Saratoga Union High,260000,2760,0,262760,64739,327499,Saratoga
Mill Valley Elementary,268077,7200,0,275277,51485,326763,Mill Valley
Franklin-McKinley Elementary,247572,6000,0,253572,71734,325306,Hemet
Cupertino Union,246678,31826,0,278504,46767,325271,Cupertino
Temple City Unified,249333,25671,0,275004,49885,324889,Temple City
Stanislaus County Office of Education,246024,2973,0,248997,75617,324614,Clayton
Sunnyvale School District,174100,99509,0,273609,48885,322494,Sunnyvale
Coachella Valley Unified,250000,9000,0,259000,63102,322102,Coachella
Morgan Hill Unified,266834,4200,0,271034,50445,321479,Morgan Hill
Lodi Unified,268296,8400,0,276696,44604,321300,Lodi
Magnolia Elementary,256425,7200,0,263625,57537,321162,Hemet
Brea-Olinda Unified,261332,4751,0,266083,54975,321058,Brea
Redlands Unified,245885,19473,0,265358,55440,320798,Redlands
Clovis Unified,230000,33997,0,263997,56748,320745,Clovis
Saratoga Union Elementary,249000,667,0,249667,70822,320490,Saratoga
Alvord Unified,271364,0,0,271364,49030,320394,Fairfield
Victor Valley Union High,257125,1500,0,258625,61557,320182,Fountain Valley
Hesperia Unified,260689,591,0,261280,58655,319936,Hesperia
Jefferson Elementary-San Mateo,246476,6000,0,252476,67292,319769,San Mateo
Monterey County Office of Education,235845,5480,0,241325,78360,319685,Monterey
Shasta College,260079,0,500,260579,58667,319246,Shasta Lake
La Habra City Elementary,268035,0,0,268035,50949,318984,La Habra
Conejo Valley Unified,260139,0,0,260139,58757,318896,Grass Valley
Saint Helena Unified,272125,20,0,272145,46550,318696,St. Helena
Norwalk-La Mirada Unified,240738,14737,0,255475,62723,318199,La Mirada
Winton,262330,4638,0,266968,51011,317979,Huntington Beach
Ventura County Office of Education,245999,600,0,246599,71051,317650,Ventura
Simi Valley Unified,254933,5057,0,259990,57185,317176,Simi Valley
Escondido Union High,252706,0,0,252706,64316,317022,Escondido
Moreland,258156,0,0,258156,58851,317008,Orland
Lompoc Unified,254382,21996,0,276379,40326,316705,Lompoc
Palo Verde College,250071,0,0,250071,66170,316241,Palo Alto
Ohlone College,191738,74113,3834,269687,46024,315712,Ione
Rocklin Unified,262107,1137,0,263245,51836,315081,Rocklin
Hawthorne School District,232338,17119,0,249458,65335,314794,Hawthorne
Stockton Unified,212940,37728,0,250669,63586,314255,Stockton
Monrovia Unified,236981,11716,0,248697,65545,314243,Monrovia
Burbank Unified,248007,2661,0,250669,63380,314050,Burbank
Roseville Joint Union High,244116,16937,0,261053,52935,313989,Roseville
Washington Unified-Yolo,230098,33578,0,263676,50060,313736,Arvin
Davis Joint Unified,253231,12053,0,265285,48360,313645,Davis
Redwood City Elementary,230592,15691,0,246283,67159,313443,Redwood City
El Monte City,244445,6600,0,251045,62260,313305,El Monte
Charter Oak Unified,238948,9960,0,248908,64117,313025,Live Oak
Lancaster Elementary,240236,11020,0,251256,61709,312965,Lancaster
Ceres Unified,239792,19260,0,259052,53734,312786,Ceres
Fillmore Unified,228948,22694,0,251642,60680,312323,Fillmore
South Whittier Elementary,225545,23178,0,248723,63159,311882,Whittier
Manhattan Beach Unified,242157,28956,0,271113,40648,311761,Manhattan Beach
Tracy Joint Unified,231260,25458,0,256718,55021,311740,Tracy
South San Francisco Unified,249000,20807,0,269807,41778,311586,South San Francisco
San Marcos Unified,258775,7948,0,266723,44226,310949,San Marcos
Santa Rosa City Schools,223986,45301,0,269288,41414,310702,Santa Rosa
San Marino Unified,255888,7200,0,263088,47280,310368,San Marino
Fountain Valley Elementary,254201,3600,0,257801,52462,310263,Fountain Valley
Taft College,227384,20199,0,247584,62637,310221,Taft
Kerman Unified,218143,43885,0,262028,47092,309121,Kerman
Chico Unified,238553,108,0,238661,69923,308585,Chico
Gilroy Unified,230468,21699,0,252168,56036,308204,Gilroy
El Centro Elementary,229357,20486,0,249843,57193,307037,El Centro
Santa Maria Joint Union High,254625,0,0,254625,52333,306958,Santa Maria
Merced City Elementary,247428,1080,0,248508,57229,305737,Merced
Sonoma County Office of Education,248984,5600,0,254584,51063,305647,Sonoma
Hayward Unified,134238,150228,0,284466,20443,304910,Hayward
Vista Unified,260000,0,0,260000,43225,303225,Vista
Escondido Union,245102,4800,0,249902,53234,303136,Escondido
Monterey Peninsula Unified,236755,14502,0,251257,51366,302623,Monterey
Long Beach Unified,168781,87300,0,256081,46461,302542,Long Beach
Santa Monica-Malibu Unified,237868,10800,0,248668,53863,302531,Malibu
Whittier City Elementary,234443,5861,0,240304,61841,302145,Whittier
Murrieta Valley Unified,248268,1261,0,249529,52323,301852,Murrieta
Pittsburg Unified,240000,13222,0,253222,48483,301705,Pittsburg
Ocean View-Ventura,216732,36679,0,253411,47933,301344,Ventura
Hueneme Elementary,222079,21576,0,243655,57532,301188,Port Hueneme
San Mateo-Foster City,235522,20190,0,255712,45023,300735,Foster City
Porterville Unified,235547,7375,0,242923,57544,300467,Porterville
Brentwood Union Elementary,237053,2853,0,239907,60369,300276,Brentwood
Tulare County Office of Education,254131,0,0,254131,46137,300268,Tulare
Portola Valley Elementary,217499,2100,0,219599,78624,298224,Portola
Patterson Joint Unified,242269,0,0,242269,55645,297915,Patterson
Roseville City Elementary,226114,7200,0,233314,63576,296890,Roseville
Novato Unified,232714,8855,0,241569,54521,296090,Novato
Larkspur-Corte Madera,234163,9999,0,244162,51865,296028,Larkspur
Buena Park Elementary,220210,16243,0,236453,59484,295937,Buena Park
Oakley Union Elementary,214825,33423,0,248248,46406,294655,Oakley
Ocean View-Orange,238945,6000,0,244945,48814,293759,Orange
Cabrillo Unified,207445,10515,0,217960,74713,292674,Camarillo
Temecula Valley Unified,226420,15719,0,242139,50396,292535,Temecula
Hilmar Unified,207858,32234,0,240092,51811,291903,Marina
Perris Elementary,241004,0,0,241004,50456,291460,Perris
Carlsbad Unified,247490,0,0,247490,43612,291102,Carlsbad
Salinas Union High,231415,0,0,231415,59540,290956,Salinas
North Monterey County Unified,200602,1135,20642,222379,68515,290895,Monterey
Lincoln Unified,227718,6000,0,233718,57150,290868,Lincoln
Berkeley Unified,231165,750,0,231915,58930,290845,Berkeley
Encinitas Union Elementary,229812,22387,0,252199,38193,290392,Encinitas
Colton Joint Unified,233508,2187,0,235695,54336,290031,Colton
Scotts Valley Unified,229606,2065,0,231671,57849,289521,Scotts Valley
Cotati-Rohnert Park Unified,226763,5624,0,232387,56979,289367,Cotati
Piedmont City Unified,229475,0,0,229475,59611,289086,Piedmont
Alameda Unified,234166,7580,0,241747,47005,288752,Alameda
Chowchilla Elementary,224006,13906,0,237913,49524,287438,Chowchilla
Santee School District,210058,34912,0,244970,42055,287025,Santee
Santa Maria-Bonita,228916,6000,0,234916,51987,286904,Santa Maria
Walnut Creek Elementary,206435,44236,0,250671,35957,286628,Walnut
Westminster School District,238309,0,0,238309,48263,286572,Westminster
Rosemead Elementary,198744,23741,0,222485,63644,286129,Rosemead
Oxnard School District,235000,0,0,235000,50973,285973,Oxnard
Yucaipa-Calimesa Joint Unified,228842,2756,0,231598,52818,284416,Calimesa
Ventura Unified,229456,500,0,229956,53934,283890,Ventura
Long Beach City College,223347,0,0,223347,59275,282622,Long Beach
Imperial Valley College,210000,15995,0,225995,56602,282598,Imperial
Merced City Elementary,36447,241110,0,277557,4685,282242,Merced
Woodland Joint Unified,235389,0,0,235389,46529,281918,Woodland
Cypress Elementary,232751,0,0,232751,48973,281724,Cypress
Monterey Peninsula College,219855,3996,0,223851,57300,281151,Monterey
Delano Union Elementary,223625,2633,0,226258,54669,280927,Delano
South Monterey County Joint Union High,222500,7020,0,229520,49583,279103,Monterey
Lafayette Elementary,225773,6089,0,231862,46097,277959,Lafayette
Alta Loma Elementary,237644,0,0,237644,39713,277357,Loma Linda
Turlock Unified,220701,3000,0,223701,53193,276894,Turlock
Visalia Unified,254473,1200,0,255673,20947,276621,Visalia
Temecula Valley Unified,193953,43201,0,237154,38653,275807,Temecula
Rio Elementary,211635,0,0,211635,64147,275782,Rio Dell
Greenfield Union Elementary,218400,6000,0,224400,51111,275511,Greenfield
Solana Beach Elementary,219300,0,0,219300,55605,274905,Solana Beach
Newman-Crows Landing Unified,214752,17537,0,232289,40281,272571,Newman
El Monte Union High,214085,11617,0,225702,46863,272565,El Monte
Delano Joint Union High,209150,12336,0,221486,50775,272262,Delano
Sanger Unified,220532,0,0,220532,51040,271573,Sanger
Madera County Superintendent of Schools,222438,480,0,222918,47850,270768,Madera
Lindsay Unified,211362,10684,7411,229457,40718,270175,Lindsay
Hemet Unified,230685,6000,0,236685,33063,269748,Hemet
Albany City Unified,211122,9973,0,221096,47788,268884,Albany
Yuba City Unified,213920,6597,0,220517,47611,268129,Yuba City
Santa Paula Unified,225500,5033,0,230533,37489,268022,Santa Paula
Eureka City Schools,202486,20259,0,222745,44633,267378,Eureka
Dublin Unified,228066,0,0,228066,38400,266466,Dublin
Modesto City Schools,175000,3800,0,178800,86489,265289,Modesto
Mountain View Elementary-Los Angeles,215486,3016,0,218502,45664,264166,Los Angeles
Folsom-Cordova Unified,249124,0,0,249124,15004,264128,Folsom
Calexico Unified,200430,3600,0,204030,59247,263277,Calexico
