,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City,Latitude,Longitude
301,Selma Unified,183800,23654,0,207454,44300,251755,Selma,36.570783,-119.612075
302,Torrance Unified,160091,57263,0,217354,34267,251621,Torrance,33.83585,-118.340628
303,Los Banos Unified,195100,1000,0,196100,53447,249547,Los Banos,37.058278,-120.849914
304,Upland Unified,182066,12292,0,194358,55030,249388,Upland,34.097511,-117.648389
305,Livingston Union,191676,8856,0,200532,48624,249156,Livingston,37.386883,-120.723533
306,Dixon Unified,186594,4385,0,190979,57659,248638,Dixon,38.445464,-121.823297
307,Carpinteria Unified,185468,6200,0,191668,54564,246232,Carpinteria,34.398883,-119.518456
308,Atascadero Unified,201047,0,0,201047,43780,244827,Atascadero,35.489417,-120.670725
309,Waterford Unified,188191,13800,0,201991,42364,244355,Waterford,37.641319,-120.760483
310,Firebaugh-Las Deltas Unified,191469,0,0,191469,51990,243460,Firebaugh,36.858839,-120.456008
311,Healdsburg Unified,195271,1500,0,196771,46593,243364,Healdsburg,38.610467,-122.869161
312,Hermosa Beach City Elementary,203409,0,0,203409,39803,243212,Hermosa Beach,33.862236,-118.399519
313,Kingsburg Elementary Charter,183204,16159,0,199364,43744,243108,Kingsburg,36.513839,-119.554017
314,Kingsburg Joint Union High,184207,0,0,184207,46104,230311,Kingsburg,36.513839,-119.554017
315,Mendota Unified,174678,49130,0,223808,16836,240645,Mendota,36.753561,-120.381558
316,Ukiah Unified,197733,0,0,197733,42502,240235,Ukiah,39.150172,-123.207783
317,McFarland Unified,180250,7960,0,188210,50974,239184,McFarland,35.678011,-119.229275
318,Brawley Elementary,185733,10419,0,196152,42117,238270,Brawley,32.978658,-115.530267
319,Pleasant Valley,196920,0,0,196920,41267,238187,Pleasant Hill,37.947978,-122.060797
320,Corcoran Joint Unified,191570,0,0,191570,46338,237908,Corcoran,37.977978,-122.031072
321,Coalinga-Huron Unified,187206,4833,0,192039,45358,237398,Coalinga,36.139678,-120.36015
322,Hanford Joint Union High,183699,4800,0,188499,48667,237166,Hanford,36.32745,-119.645683
323,Vacaville Unified,195723,6600,0,202323,33649,235973,Vacaville,38.356578,-121.987744
324,Placerville Union Elementary,167258,3999,0,171258,63036,234295,Placerville,38.729625,-120.798547
325,Biggs Unified,158671,40917,0,199588,33952,233540,Biggs,39.412389,-121.71275
326,Parlier Unified,174033,14127,0,188161,45173,233334,Parlier,36.611617,-119.527072
327,Susanville Elementary,0,180056,0,180056,51224,231281,Susanville,40.416283,-120.653006
328,Paso Robles Joint Unified,181907,7020,0,188927,42177,231104,Paso Robles,35.632278,-120.664186
329,Escalon Unified,185950,0,0,185950,44576,230527,Escalon,37.797428,-120.996603
330,Gridley Unified,185371,2616,0,187988,41976,229965,Gridley,39.363778,-121.693583
331,Oroville Union High,186929,0,0,186929,42608,229538,Oroville,39.513775,-121.556358
332,Oroville City Elementary,174705,11360,0,186065,42166,228232,Oroville,39.513775,-121.556358
333,Hughson Unified,185357,9099,0,194457,31061,225518,Hughson,37.602725,-120.866481
