,Agency,Base Pay,Other Pay,Overtime Pay,Total Pay,Benefits,Total Pay & Benefits,City
402,Eureka Union,203858,0,0,203858,41811,245670,Eureka
403,Rincon Valley Union Elementary,192648,1940,0,194588,50884,245472,Fountain Valley
404,Caruthers Unified,177953,29080,0,207033,38050,245083,Duarte
405,Atascadero Unified,201047,0,0,201047,43780,244827,Atascadero
406,Mark West Union Elementary,181846,16502,0,198349,46399,244748,Union City
407,Bellevue Union,192172,0,19933,212105,32635,244740,Bell
408,Waterford Unified,188191,13800,0,201991,42364,244355,Waterford
409,Firebaugh-Las Deltas Unified,191469,0,0,191469,51990,243460,Firebaugh
410,Healdsburg Unified,195271,1500,0,196771,46593,243364,Healdsburg
411,Hermosa Beach City Elementary,203409,0,0,203409,39803,243212,Hermosa Beach
412,Kingsburg Elementary Charter,183204,16159,0,199364,43744,243108,Kingsburg
413,Planada Elementary,190897,1374,0,192271,50134,242405,Upland
414,McCabe Union Elementary,193067,0,0,193067,48759,241826,Union City
415,Tri-Valley ROP,207002,0,0,207002,34729,241731,Mill Valley
416,New Jerusalem Elementary,205077,13038,0,218115,23416,241531,Hemet
417,Weaver Union,185735,11572,0,197307,43826,241133,Ione
418,Bennett Valley Union Elementary,205380,1300,0,206680,34360,241040,Fountain Valley
419,Washington Unified-Fresno,187999,480,0,188479,52527,241006,Fresno
420,Eastside Union Elementary,184791,9347,0,194139,46662,240802,Union City
421,Mendota Unified,174678,49130,0,223808,16836,240645,Mendota
422,Ukiah Unified,197733,0,0,197733,42502,240235,Ukiah
423,Castaic Union,182962,4961,0,187923,51973,239896,Ione
424,Mammoth Unified,181385,0,0,181385,58432,239818,Huron
425,McFarland Unified,180250,7960,0,188210,50974,239184,McFarland
426,Lennox,187500,0,2500,190000,49115,239115,Glendora
427,Eden Area ROP,206430,480,0,206910,31793,238704,Brea
428,Brawley Elementary,185733,10419,0,196152,42117,238270,Brawley
429,Pleasant Valley,196920,0,0,196920,41267,238187,Pleasant Hill
430,Salida Union Elementary,184501,12831,0,197332,40605,237937,Union City
431,Corcoran Joint Unified,191570,0,0,191570,46338,237908,Corcoran
432,Rosedale Union Elementary,181001,6720,0,187721,50135,237857,Union City
433,Live Oak Elementary,190662,0,0,190662,46902,237564,Live Oak
434,Coalinga-Huron Unified,187206,4833,0,192039,45358,237398,Coalinga
435,Hanford Joint Union High,183699,4800,0,188499,48667,237166,Hanford
436,Central Union Elementary,189080,0,0,189080,47783,236863,Union City
437,Inyo County Office of Education,175000,0,0,175000,61723,236723,Ione
438,Cupertino Union,150246,51471,0,201717,34741,236459,Cupertino
439,Vacaville Unified,195723,6600,0,202323,33649,235973,Vacaville
440,Norris Elementary,165038,21382,0,186420,49146,235567,Dorris
441,Fairfax Elementary,178138,6716,0,184854,50692,235546,Hemet
442,West Sonoma County Union High,180744,5400,0,186144,49278,235422,Sonoma
443,Santa Ynez Valley Union High,178968,0,9231,188199,46399,234599,Fountain Valley
444,Placerville Union Elementary,167258,3999,0,171258,63036,234295,Placerville
445,Covina-Valley Unified,186725,7612,0,194337,39680,234017,Covina
446,Golden Plains Unified,168034,20687,0,188721,45048,233770,Goleta
447,Biggs Unified,158671,40917,0,199588,33952,233540,Biggs
448,Parlier Unified,174033,14127,0,188161,45173,233334,Parlier
449,Fallbrook Union High,186967,0,0,186967,45965,232932,Union City
450,Auburn Union Elementary,192801,0,0,192801,39588,232390,Auburn
451,Alpine Union Elementary,197471,900,0,198371,33994,232365,Union City
452,Lamont Elementary,175134,7741,0,182875,48835,231710,Hemet
453,Bear Valley Unified,179055,7200,0,186255,45328,231583,Grass Valley
454,North Orange County ROP-Adult,182038,7215,0,189253,42309,231562,Orange
455,Acton-Agua Dulce Unified,205923,25368,0,231291,111,231402,Colton
456,Susanville Elementary,0,180056,0,180056,51224,231281,Susanville
457,Paso Robles Joint Unified,181907,7020,0,188927,42177,231104,Paso Robles
458,Standard Elementary,183506,899,0,184405,46641,231047,Hemet
459,Escalon Unified,185950,0,0,185950,44576,230527,Escalon
460,Lake County Office of Education,185328,360,0,185688,44789,230478,Big Bear Lake
461,Lucerne Valley Unified,166778,20000,0,186778,43579,230357,Grass Valley
462,Kingsburg Joint Union High,184207,0,0,184207,46104,230311,Kingsburg
463,Gridley Unified,185371,2616,0,187988,41976,229965,Gridley
464,Coastside County Water District,168328,13500,0,181828,48019,229847,Atwater
465,Oroville Union High,186929,0,0,186929,42608,229538,Oroville
466,Yolo County Office of Education,194861,300,0,195161,34269,229430,Ione
467,Ohlone College,180602,4353,0,184955,44443,229398,Ione
468,Live Oak Unified,178818,0,0,178818,49884,228703,Live Oak
469,Shoreline Unified,179805,4800,0,184605,43668,228273,Ione
470,Oroville City Elementary,174705,11360,0,186065,42166,228232,Oroville
471,Butte County Office of Education,184570,0,0,184570,43334,227905,Ione
472,Rim of the World Unified,178370,3000,0,181370,46419,227789,Orland
473,Muroc Joint Unified,153000,30217,0,183217,44276,227494,Turlock
474,Nuview Union,179824,5177,0,185001,42456,227457,Ione
475,Hope Elementary-Santa Barbara,185768,0,0,185768,41569,227337,Santa Barbara
476,San Benito High,179345,2160,0,181505,45228,226733,San Bruno
477,Fremont Unified,194052,0,0,194052,32572,226625,Fremont
478,Dos Palos Oro Loma Joint Unified,178495,2499,0,180994,45129,226123,Dos Palos
479,Soquel Union Elementary,184106,1822,0,185929,39728,225657,Union City
480,Hughson Unified,185357,9099,0,194457,31061,225518,Hughson
481,Del Norte County Office of Education,180291,0,0,180291,44664,224955,Del Mar
482,Banta Unified,171437,7500,0,178937,46002,224939,Santa Monica
483,Rescue Union Elementary,186381,0,0,186381,38463,224845,Union City
484,Alexander Valley Union Elementary,171531,14221,0,185753,38898,224651,Fountain Valley
485,Coastline ROP,174545,420,0,174965,48709,223674,Coalinga
486,Stanislaus Union Elementary,178585,4800,0,183385,40212,223597,Union City
